ProductName,RetailSPrice,TotalQtySold,UniqueDates,DaysUsed
8848 VODKA 750ML,1625.0,10.0,"[Timestamp('2020-07-17 00:00:00'), Timestamp('2020-07-20 00:00:00'), Timestamp('2020-08-12 00:00:00'), Timestamp('2020-08-17 00:00:00'), Timestamp('2020-08-19 00:00:00'), Timestamp('2020-08-22 00:00:00'), Timestamp('2020-08-27 00:00:00')]",42
8848 VODKA 750ML,1637.16814159292,6.0,"[Timestamp('2022-01-11 00:00:00'), Timestamp('2022-02-04 00:00:00')]",25
8848 VODKA 750ML,1650.0,1.0,[Timestamp('2020-09-19 00:00:00')],1
8848 VODKA 750ML,1675.0,39.0,"[Timestamp('2020-09-27 00:00:00'), Timestamp('2020-09-28 00:00:00'), Timestamp('2020-09-30 00:00:00'), Timestamp('2020-10-16 00:00:00'), Timestamp('2020-10-23 00:00:00'), Timestamp('2020-10-25 00:00:00'), Timestamp('2020-10-31 00:00:00'), Timestamp('2020-11-06 00:00:00'), Timestamp('2020-11-18 00:00:00'), Timestamp('2020-11-24 00:00:00'), Timestamp('2020-11-26 00:00:00'), Timestamp('2020-12-18 00:00:00'), Timestamp('2020-12-22 00:00:00'), Timestamp('2020-12-25 00:00:00'), Timestamp('2021-01-02 00:00:00'), Timestamp('2021-01-11 00:00:00'), Timestamp('2021-01-19 00:00:00'), Timestamp('2021-02-12 00:00:00'), Timestamp('2021-02-14 00:00:00'), Timestamp('2021-02-17 00:00:00'), Timestamp('2021-03-09 00:00:00'), Timestamp('2021-03-10 00:00:00'), Timestamp('2021-03-29 00:00:00'), Timestamp('2021-04-12 00:00:00'), Timestamp('2021-04-13 00:00:00'), Timestamp('2021-04-28 00:00:00'), Timestamp('2021-05-03 00:00:00'), Timestamp('2021-05-15 00:00:00'), Timestamp('2021-05-23 00:00:00'), Timestamp('2021-06-08 00:00:00'), Timestamp('2021-06-11 00:00:00'), Timestamp('2021-06-21 00:00:00')]",268
8848 VODKA 750ML,1700.0,2.0,"[Timestamp('2021-07-10 00:00:00'), Timestamp('2021-08-01 00:00:00')]",23
8848 VODKA 750ML,1835.0,19.0,"[Timestamp('2021-09-04 00:00:00'), Timestamp('2021-10-05 00:00:00'), Timestamp('2021-10-10 00:00:00'), Timestamp('2021-10-11 00:00:00'), Timestamp('2021-10-12 00:00:00'), Timestamp('2021-10-13 00:00:00'), Timestamp('2021-10-14 00:00:00'), Timestamp('2021-10-17 00:00:00'), Timestamp('2021-10-18 00:00:00'), Timestamp('2021-11-03 00:00:00'), Timestamp('2021-11-06 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2021-12-11 00:00:00'), Timestamp('2021-12-14 00:00:00')]",72
8848 VODKA 750ML,1850.0,12.0,"[Timestamp('2021-12-30 00:00:00'), Timestamp('2022-01-15 00:00:00'), Timestamp('2022-01-23 00:00:00'), Timestamp('2022-01-27 00:00:00'), Timestamp('2022-03-02 00:00:00'), Timestamp('2022-03-03 00:00:00'), Timestamp('2022-03-04 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-05-09 00:00:00')]",98
CERELAC 2 TO 5 YEARS CEREGROW,470.0,4.0,"[Timestamp('2020-07-21 00:00:00'), Timestamp('2020-08-19 00:00:00'), Timestamp('2020-09-01 00:00:00'), Timestamp('2020-09-03 00:00:00')]",45
CERELAC 2 TO 5 YEARS CEREGROW,480.0,11.0,"[Timestamp('2020-09-25 00:00:00'), Timestamp('2020-10-18 00:00:00'), Timestamp('2020-10-28 00:00:00'), Timestamp('2020-11-05 00:00:00'), Timestamp('2020-11-09 00:00:00'), Timestamp('2020-12-22 00:00:00')]",47
CERELAC 2 TO 5 YEARS CEREGROW,505.0,28.0,"[Timestamp('2021-01-08 00:00:00'), Timestamp('2021-01-13 00:00:00'), Timestamp('2021-01-16 00:00:00'), Timestamp('2021-01-25 00:00:00'), Timestamp('2021-01-31 00:00:00'), Timestamp('2021-02-10 00:00:00'), Timestamp('2021-02-13 00:00:00'), Timestamp('2021-02-17 00:00:00'), Timestamp('2021-03-04 00:00:00'), Timestamp('2021-03-10 00:00:00'), Timestamp('2021-03-31 00:00:00'), Timestamp('2021-04-30 00:00:00'), Timestamp('2021-05-08 00:00:00'), Timestamp('2021-05-20 00:00:00'), Timestamp('2021-06-20 00:00:00'), Timestamp('2021-06-23 00:00:00')]",108
