,ProductName,CostPrice,RetailSPrice,SQty
0,EGG 30 PCS,307.14,340.0,3.0
1,EGG 30 PCS,307.14,350.0,3.0
2,EGG 30 PCS,307.14,375.0,1.0
3,EGG 30 PCS,315.0,350.0,2.0
4,EGG 30 PCS,321.43,330.0,7.0
5,EGG 30 PCS,321.43,340.0,8.0
6,EGG 30 PCS,321.43,420.0,3.0
7,EGG 30 PCS,330.0,350.0,3.0
8,EGG 30 PCS,330.0,375.0,3.0
9,EGG 30 PCS,357.14,395.0,2.0
10,EGG 30 PCS,357.14,400.0,2.0
11,EGG 30 PCS,357.14,405.0,7.0
12,EGG 30 PCS,357.14,410.0,2.0
13,EGG 30 PCS,357.14,440.0,5.0
14,EGG 30 PCS,357.14,450.0,1.0
15,EGG 30 PCS,357.14,475.0,10.5
16,EGG 30 PCS,360.0,380.0,19.0
17,EGG 30 PCS,360.0,390.0,7.0
18,EGG 30 PCS,371.43,375.0,4.0
19,EGG 30 PCS,371.43,395.0,22.0
20,EGG 30 PCS,371.43,420.0,4.0
21,EGG 30 PCS,378.57,400.0,20.0
22,EGG 30 PCS,378.57,450.0,16.5
23,EGG 30 PCS,378.57,480.0,18.0
24,EGG 30 PCS,385.71,400.0,9.0
25,EGG 30 PCS,385.71,405.0,4.0
26,EGG 30 PCS,385.71,430.0,10.0
27,EGG 30 PCS,385.71,450.0,1.0
28,EGG 30 PCS,385.71,460.0,5.0
29,EGG 30 PCS,392.86,405.0,7.0
30,EGG 30 PCS,392.86,415.0,8.0
31,EGG 30 PCS,392.86,430.0,18.0
32,EGG 30 PCS,400.0,420.0,28.0
33,EGG 30 PCS,400.0,425.0,10.0
34,EGG 30 PCS,400.0,430.0,24.0
35,EGG 30 PCS,400.0,450.0,10.0
36,EGG 30 PCS,400.0,460.0,22.0
37,EGG 30 PCS,417.86,480.0,14.0
38,EGG 30 PCS,421.43,455.0,11.0
39,EGG 30 PCS,421.43,465.0,3.0
40,EGG 30 PCS,428.57,445.0,10.0
41,EGG 30 PCS,428.57,450.0,33.0
42,EGG 30 PCS,428.57,460.0,26.0
43,EGG 30 PCS,428.59,445.0,2.0
44,EGG 30 PCS,435.71,460.0,10.0
45,EGG 30 PCS,435.71,480.0,3.0
46,EGG 30 PCS,442.86,460.0,2.0
47,EGG 30 PCS,442.86,470.0,2.0
48,EGG 30 PCS,442.86,480.0,12.0
49,MEIZAN 2 LTR SUN FLOWER OIL JAR,535.0,565.0,45.0
50,MEIZAN 2 LTR SUN FLOWER OIL JAR,545.0,575.0,2.0
51,MEIZAN 2 LTR SUN FLOWER OIL JAR,560.0,575.0,26.0
52,MEIZAN 2 LTR SUN FLOWER OIL JAR,560.0,590.0,1.0
53,MEIZAN 2 LTR SUN FLOWER OIL JAR,570.01,575.0,17.0
54,MEIZAN 2 LTR SUN FLOWER OIL JAR,605.0,615.0,53.0
55,MEIZAN 2 LTR SUN FLOWER OIL JAR,605.0,640.0,1.0
56,MEIZAN 2 LTR SUN FLOWER OIL JAR,605.0,650.0,3.0
57,MEIZAN 2 LTR SUN FLOWER OIL JAR,605.0,660.0,1.0
58,MEIZAN 2 LTR SUN FLOWER OIL JAR,605.0,670.0,1.0
59,MEIZAN 2 LTR SUN FLOWER OIL JAR,614.99,650.0,21.0
60,MEIZAN 2 LTR SUN FLOWER OIL JAR,645.0,685.0,26.0
61,MEIZAN 2 LTR SUN FLOWER OIL JAR,665.0,705.0,30.0
62,MEIZAN 2 LTR SUN FLOWER OIL JAR,699.99,765.0,4.0
63,MEIZAN 2 LTR SUN FLOWER OIL JAR,699.99,785.0,29.0
64,MEIZAN 2 LTR SUN FLOWER OIL JAR,715.0,765.0,14.0
65,MEIZAN 2 LTR SUN FLOWER OIL JAR,719.99,785.0,1.0
66,MEIZAN 2 LTR SUN FLOWER OIL JAR,725.0,750.0,13.0
67,MEIZAN 2 LTR SUN FLOWER OIL JAR,725.0,785.0,1.0
68,MEIZAN 2 LTR SUN FLOWER OIL JAR,729.98,759.0,1.0
69,MEIZAN 2 LTR SUN FLOWER OIL JAR,750.0,785.0,8.0
70,MEIZAN 2 LTR SUN FLOWER OIL JAR,759.99,870.0,24.0
71,MEIZAN 2 LTR SUN FLOWER OIL JAR,759.99,900.0,17.0
72,MEIZAN 2 LTR SUN FLOWER OIL JAR,795.0,870.0,7.0
73,MEIZAN 2 LTR SUN FLOWER OIL JAR,810.0,860.0,12.0
74,MEIZAN 2 LTR SUN FLOWER OIL JAR,860.0,910.0,16.0
75,MEIZAN 2 LTR SUN FLOWER OIL JAR,860.0,930.0,1.0
76,MEIZAN 2 LTR SUN FLOWER OIL JAR,943.92,1010.0,1.0
77,MEIZAN 2 LTR SUN FLOWER OIL JAR,975.0,1010.0,12.0
78,SSM ALMOND 400 GM,380.0,475.0,51.0
79,SSM ALMOND 400 GM,384.0,475.0,14.0
80,SSM ALMOND 400 GM,384.0,490.0,4.0
81,SSM ALMOND 400 GM,390.0,490.0,12.0
82,SSM ALMOND 400 GM,390.01,415.0,6.0
83,SSM ALMOND 400 GM,390.01,424.778761061947,2.0
84,SSM ALMOND 400 GM,390.01,480.0,12.0
85,SSM ALMOND 400 GM,396.0,470.0,1.0
86,SSM ALMOND 400 GM,396.0,490.0,35.0
87,SSM ALMOND 400 GM,400.0,490.0,15.0
88,SSM ALMOND 400 GM,410.0,480.0,3.0
89,SSM ALMOND 400 GM,420.0,495.0,3.0
90,SSM ALMOND 400 GM,435.95,480.0,3.0
91,SSM ALMOND 400 GM,435.95,500.0,40.0
92,SSM ALMOND 400 GM,435.95,565.0,19.0
93,SSM ALMOND 400 GM,435.95,585.0,1.0
94,SSM ALMOND 400 GM,440.0,550.0,32.0
95,SSM ALMOND 400 GM,450.0,477.87610619469,4.0
96,SSM ALMOND 400 GM,450.0,480.0,6.0
97,SSM ALMOND 400 GM,450.0,500.0,3.0
98,SSM ALMOND 400 GM,450.0,540.0,25.0
99,SSM ALMOND 400 GM,452.0,510.0,1.0
100,SSM ALMOND 400 GM,460.0,540.0,3.0
101,SSM ALMOND 400 GM,460.0,552.0,16.0
102,DALDA GHEE 1KG SWASTIK,140.0,150.0,138.0
103,DALDA GHEE 1KG SWASTIK,142.0,155.0,42.0
104,DALDA GHEE 1KG SWASTIK,143.0,150.0,2.0
105,DALDA GHEE 1KG SWASTIK,156.0,160.0,94.0
106,DALDA GHEE 1KG SWASTIK,177.0,185.0,3.0
107,DALDA GHEE 1KG SWASTIK,177.0,195.0,2.0
108,DALDA GHEE 1KG SWASTIK,187.0,195.0,100.0
