ProductName,RetailSPrice,TotalQtySold,UniqueDates,DaysUsed
AARATI PREMIUM RICE 20KG,2460.0,1.0,[Timestamp('2020-10-28 00:00:00')],1
AARATI PREMIUM RICE 20KG,2465.0,25.0,"[Timestamp('2020-08-08 00:00:00'), Timestamp('2020-08-17 00:00:00'), Timestamp('2020-08-19 00:00:00'), Timestamp('2020-08-25 00:00:00'), Timestamp('2020-08-27 00:00:00'), Timestamp('2020-08-28 00:00:00'), Timestamp('2020-09-01 00:00:00'), Timestamp('2020-10-02 00:00:00'), Timestamp('2020-10-10 00:00:00'), Timestamp('2020-10-20 00:00:00'), Timestamp('2020-11-02 00:00:00'), Timestamp('2020-11-08 00:00:00'), Timestamp('2020-11-25 00:00:00'), Timestamp('2020-12-06 00:00:00'), Timestamp('2020-12-16 00:00:00'), Timestamp('2020-12-28 00:00:00'), Timestamp('2021-01-04 00:00:00')]",120
AARATI PREMIUM RICE 20KG,2520.0,29.0,"[Timestamp('2021-01-13 00:00:00'), Timestamp('2021-01-17 00:00:00'), Timestamp('2021-01-24 00:00:00'), Timestamp('2021-01-25 00:00:00'), Timestamp('2021-01-31 00:00:00'), Timestamp('2021-02-06 00:00:00'), Timestamp('2021-02-17 00:00:00'), Timestamp('2021-03-13 00:00:00'), Timestamp('2021-03-28 00:00:00'), Timestamp('2021-03-29 00:00:00'), Timestamp('2021-04-05 00:00:00'), Timestamp('2021-04-09 00:00:00'), Timestamp('2021-04-13 00:00:00'), Timestamp('2021-04-15 00:00:00'), Timestamp('2021-04-24 00:00:00'), Timestamp('2021-04-25 00:00:00'), Timestamp('2021-05-04 00:00:00'), Timestamp('2021-05-08 00:00:00')]",116
AARATI PREMIUM RICE 20KG,2550.0,42.0,"[Timestamp('2021-05-26 00:00:00'), Timestamp('2021-06-04 00:00:00'), Timestamp('2021-06-12 00:00:00'), Timestamp('2021-07-21 00:00:00'), Timestamp('2021-08-01 00:00:00'), Timestamp('2021-08-02 00:00:00'), Timestamp('2021-08-10 00:00:00'), Timestamp('2021-08-13 00:00:00'), Timestamp('2021-08-31 00:00:00'), Timestamp('2021-09-10 00:00:00'), Timestamp('2021-09-30 00:00:00'), Timestamp('2021-10-30 00:00:00'), Timestamp('2021-11-02 00:00:00'), Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-15 00:00:00'), Timestamp('2021-11-16 00:00:00'), Timestamp('2021-11-22 00:00:00'), Timestamp('2021-11-30 00:00:00'), Timestamp('2021-12-03 00:00:00'), Timestamp('2021-12-10 00:00:00'), Timestamp('2021-12-14 00:00:00'), Timestamp('2021-12-24 00:00:00'), Timestamp('2021-12-25 00:00:00'), Timestamp('2021-12-31 00:00:00'), Timestamp('2022-01-07 00:00:00'), Timestamp('2022-01-11 00:00:00'), Timestamp('2022-01-12 00:00:00'), Timestamp('2022-01-15 00:00:00'), Timestamp('2022-01-20 00:00:00')]",173
AARATI PREMIUM RICE 20KG,2560.0,2.0,[Timestamp('2021-05-06 00:00:00')],1
AARATI PREMIUM RICE 20KG,2625.0,4.0,[Timestamp('2020-07-19 00:00:00')],1
AARATI PREMIUM RICE 20KG,2730.0,25.0,"[Timestamp('2022-01-26 00:00:00'), Timestamp('2022-01-30 00:00:00'), Timestamp('2022-01-31 00:00:00'), Timestamp('2022-02-04 00:00:00'), Timestamp('2022-02-10 00:00:00'), Timestamp('2022-02-17 00:00:00'), Timestamp('2022-02-18 00:00:00'), Timestamp('2022-02-19 00:00:00'), Timestamp('2022-03-02 00:00:00'), Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-13 00:00:00')]",78
AARATI PREMIUM RICE 20KG,2800.0,11.0,"[Timestamp('2022-05-11 00:00:00'), Timestamp('2022-05-20 00:00:00'), Timestamp('2022-05-30 00:00:00'), Timestamp('2022-06-12 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-09 00:00:00')]",60
ALOO BHUJIA 400GM,182.0,18.0,"[Timestamp('2020-11-15 00:00:00'), Timestamp('2020-11-16 00:00:00'), Timestamp('2020-11-27 00:00:00'), Timestamp('2020-12-19 00:00:00'), Timestamp('2020-12-23 00:00:00'), Timestamp('2021-01-14 00:00:00'), Timestamp('2021-01-28 00:00:00'), Timestamp('2021-02-05 00:00:00'), Timestamp('2021-02-25 00:00:00'), Timestamp('2021-04-03 00:00:00'), Timestamp('2021-04-09 00:00:00'), Timestamp('2021-04-19 00:00:00'), Timestamp('2021-04-27 00:00:00'), Timestamp('2021-04-28 00:00:00'), Timestamp('2021-05-01 00:00:00')]",132
ALOO BHUJIA 400GM,210.0,15.0,"[Timestamp('2020-12-24 00:00:00'), Timestamp('2020-12-27 00:00:00'), Timestamp('2020-12-28 00:00:00'), Timestamp('2020-12-29 00:00:00'), Timestamp('2021-01-04 00:00:00'), Timestamp('2021-01-09 00:00:00'), Timestamp('2021-01-15 00:00:00'), Timestamp('2021-01-18 00:00:00'), Timestamp('2021-01-20 00:00:00'), Timestamp('2021-02-23 00:00:00'), Timestamp('2021-02-26 00:00:00'), Timestamp('2021-03-01 00:00:00'), Timestamp('2021-03-06 00:00:00')]",40
ALOO BHUJIA 400GM,211.0,21.0,"[Timestamp('2020-11-04 00:00:00'), Timestamp('2020-11-10 00:00:00'), Timestamp('2020-11-12 00:00:00'), Timestamp('2020-11-13 00:00:00'), Timestamp('2020-11-15 00:00:00'), Timestamp('2020-11-28 00:00:00'), Timestamp('2020-12-09 00:00:00'), Timestamp('2020-12-19 00:00:00'), Timestamp('2021-06-24 00:00:00'), Timestamp('2021-06-25 00:00:00'), Timestamp('2021-06-28 00:00:00'), Timestamp('2021-06-29 00:00:00'), Timestamp('2021-06-30 00:00:00'), Timestamp('2021-07-08 00:00:00'), Timestamp('2021-07-24 00:00:00'), Timestamp('2021-07-29 00:00:00'), Timestamp('2021-08-01 00:00:00'), Timestamp('2021-08-03 00:00:00'), Timestamp('2021-08-04 00:00:00'), Timestamp('2021-08-06 00:00:00')]",90
ALOO BHUJIA 400GM,214.0,20.0,"[Timestamp('2020-07-20 00:00:00'), Timestamp('2020-08-05 00:00:00'), Timestamp('2020-08-07 00:00:00'), Timestamp('2020-08-11 00:00:00'), Timestamp('2020-08-12 00:00:00'), Timestamp('2020-08-17 00:00:00'), Timestamp('2021-03-26 00:00:00'), Timestamp('2021-04-01 00:00:00'), Timestamp('2021-04-12 00:00:00'), Timestamp('2021-04-21 00:00:00'), Timestamp('2021-04-28 00:00:00'), Timestamp('2021-05-01 00:00:00'), Timestamp('2021-05-05 00:00:00'), Timestamp('2021-05-08 00:00:00'), Timestamp('2021-05-11 00:00:00'), Timestamp('2021-05-13 00:00:00'), Timestamp('2021-05-25 00:00:00'), Timestamp('2021-06-04 00:00:00'), Timestamp('2021-06-11 00:00:00')]",107
ALOO BHUJIA 400GM,215.0,6.0,"[Timestamp('2020-08-18 00:00:00'), Timestamp('2020-08-19 00:00:00')]",2
ALOO BHUJIA 400GM,216.0,7.0,"[Timestamp('2020-08-23 00:00:00'), Timestamp('2020-08-26 00:00:00'), Timestamp('2020-08-27 00:00:00'), Timestamp('2020-08-28 00:00:00'), Timestamp('2020-08-29 00:00:00'), Timestamp('2020-11-03 00:00:00')]",8
ALOO BHUJIA 400GM,217.0,30.0,"[Timestamp('2021-08-16 00:00:00'), Timestamp('2021-08-26 00:00:00'), Timestamp('2021-08-31 00:00:00'), Timestamp('2021-09-05 00:00:00'), Timestamp('2021-09-11 00:00:00'), Timestamp('2021-09-13 00:00:00'), Timestamp('2021-09-29 00:00:00'), Timestamp('2021-10-07 00:00:00'), Timestamp('2021-10-16 00:00:00'), Timestamp('2021-10-24 00:00:00'), Timestamp('2022-01-03 00:00:00'), Timestamp('2022-01-13 00:00:00'), Timestamp('2022-01-16 00:00:00'), Timestamp('2022-01-21 00:00:00'), Timestamp('2022-01-27 00:00:00'), Timestamp('2022-01-31 00:00:00'), Timestamp('2022-02-15 00:00:00'), Timestamp('2022-02-20 00:00:00'), Timestamp('2022-02-25 00:00:00'), Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-04-27 00:00:00'), Timestamp('2022-04-29 00:00:00'), Timestamp('2022-05-01 00:00:00'), Timestamp('2022-05-03 00:00:00')]",160
ALOO BHUJIA 400GM,225.0,1.0,[Timestamp('2020-08-19 00:00:00')],1
ALOO BHUJIA 400GM,232.0,3.0,"[Timestamp('2022-06-22 00:00:00'), Timestamp('2022-06-26 00:00:00'), Timestamp('2022-07-16 00:00:00')]",25
BARAHSINGHE PILSNER BIER 330 ML,149.0,24.0,[Timestamp('2021-07-26 00:00:00')],1
BARAHSINGHE PILSNER BIER 330 ML,152.0,77.0,"[Timestamp('2021-07-04 00:00:00'), Timestamp('2021-07-09 00:00:00'), Timestamp('2021-07-11 00:00:00'), Timestamp('2021-07-12 00:00:00'), Timestamp('2021-07-15 00:00:00'), Timestamp('2021-08-10 00:00:00'), Timestamp('2021-08-13 00:00:00'), Timestamp('2021-08-18 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-08-22 00:00:00'), Timestamp('2021-08-23 00:00:00')]",51
BARAHSINGHE PILSNER BIER 330 ML,155.0,44.0,"[Timestamp('2021-04-16 00:00:00'), Timestamp('2021-04-24 00:00:00'), Timestamp('2021-04-26 00:00:00'), Timestamp('2021-04-28 00:00:00'), Timestamp('2021-05-02 00:00:00'), Timestamp('2021-05-03 00:00:00'), Timestamp('2021-05-04 00:00:00'), Timestamp('2021-05-05 00:00:00'), Timestamp('2021-05-08 00:00:00'), Timestamp('2021-05-09 00:00:00')]",24
BARAHSINGHE PILSNER BIER 330 ML,160.0,23.0,"[Timestamp('2021-01-29 00:00:00'), Timestamp('2021-03-05 00:00:00'), Timestamp('2021-03-15 00:00:00'), Timestamp('2021-03-17 00:00:00'), Timestamp('2021-03-18 00:00:00'), Timestamp('2021-04-04 00:00:00')]",32
BARAHSINGHE PILSNER BIER 330 ML,165.0,30.0,"[Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00')]",6
BARAHSINGHE PILSNER BIER 330 ML,170.0,24.0,[Timestamp('2022-03-09 00:00:00')],1
BARAHSINGHE PILSNER BIER 330 ML,175.0,274.0,"[Timestamp('2021-08-31 00:00:00'), Timestamp('2021-09-04 00:00:00'), Timestamp('2021-09-06 00:00:00'), Timestamp('2021-09-09 00:00:00'), Timestamp('2021-09-10 00:00:00'), Timestamp('2021-09-11 00:00:00'), Timestamp('2021-09-16 00:00:00'), Timestamp('2021-09-17 00:00:00'), Timestamp('2021-09-18 00:00:00'), Timestamp('2021-09-22 00:00:00'), Timestamp('2021-09-23 00:00:00'), Timestamp('2021-09-24 00:00:00'), Timestamp('2021-10-12 00:00:00'), Timestamp('2021-10-13 00:00:00'), Timestamp('2021-10-14 00:00:00'), Timestamp('2021-10-15 00:00:00'), Timestamp('2021-10-16 00:00:00'), Timestamp('2021-10-17 00:00:00'), Timestamp('2021-10-18 00:00:00'), Timestamp('2021-10-19 00:00:00'), Timestamp('2021-10-21 00:00:00'), Timestamp('2021-10-22 00:00:00'), Timestamp('2021-10-23 00:00:00'), Timestamp('2021-10-24 00:00:00'), Timestamp('2021-11-01 00:00:00'), Timestamp('2021-11-02 00:00:00'), Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-18 00:00:00'), Timestamp('2021-11-21 00:00:00'), Timestamp('2021-11-22 00:00:00'), Timestamp('2021-12-03 00:00:00'), Timestamp('2021-12-06 00:00:00'), Timestamp('2021-12-13 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-27 00:00:00'), Timestamp('2022-01-21 00:00:00'), Timestamp('2022-02-02 00:00:00'), Timestamp('2022-02-06 00:00:00'), Timestamp('2022-02-17 00:00:00'), Timestamp('2022-03-02 00:00:00'), Timestamp('2022-03-03 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-25 00:00:00'), Timestamp('2022-04-27 00:00:00'), Timestamp('2022-04-28 00:00:00'), Timestamp('2022-04-30 00:00:00'), Timestamp('2022-05-17 00:00:00'), Timestamp('2022-05-18 00:00:00'), Timestamp('2022-05-31 00:00:00'), Timestamp('2022-06-09 00:00:00'), Timestamp('2022-06-10 00:00:00'), Timestamp('2022-06-19 00:00:00'), Timestamp('2022-06-20 00:00:00'), Timestamp('2022-06-25 00:00:00'), Timestamp('2022-06-28 00:00:00'), Timestamp('2022-07-08 00:00:00')]",312
BARAHSINGHE PILSNER BIER 330 ML,265.0,2.0,[Timestamp('2022-07-07 00:00:00')],1
BHUJIA 180GM,103.0,1.0,[Timestamp('2020-08-17 00:00:00')],1
BHUJIA 180GM,106.0,30.0,"[Timestamp('2020-11-12 00:00:00'), Timestamp('2020-12-01 00:00:00'), Timestamp('2020-12-05 00:00:00'), Timestamp('2020-12-12 00:00:00'), Timestamp('2020-12-13 00:00:00'), Timestamp('2020-12-14 00:00:00'), Timestamp('2020-12-18 00:00:00'), Timestamp('2020-12-20 00:00:00'), Timestamp('2020-12-28 00:00:00'), Timestamp('2021-01-03 00:00:00'), Timestamp('2021-01-14 00:00:00'), Timestamp('2021-06-10 00:00:00'), Timestamp('2021-06-16 00:00:00'), Timestamp('2021-06-18 00:00:00'), Timestamp('2021-07-23 00:00:00'), Timestamp('2021-07-27 00:00:00'), Timestamp('2021-08-04 00:00:00'), Timestamp('2021-08-06 00:00:00'), Timestamp('2021-08-07 00:00:00'), Timestamp('2021-08-13 00:00:00'), Timestamp('2021-08-14 00:00:00'), Timestamp('2021-08-30 00:00:00'), Timestamp('2021-08-31 00:00:00'), Timestamp('2021-09-04 00:00:00'), Timestamp('2021-09-05 00:00:00'), Timestamp('2021-09-07 00:00:00')]",120
BHUJIA 180GM,107.0,9.0,"[Timestamp('2021-03-15 00:00:00'), Timestamp('2021-03-31 00:00:00'), Timestamp('2021-04-06 00:00:00'), Timestamp('2021-04-17 00:00:00'), Timestamp('2021-05-08 00:00:00'), Timestamp('2021-05-15 00:00:00')]",62
BHUJIA 180GM,108.0,46.0,"[Timestamp('2020-10-01 00:00:00'), Timestamp('2020-12-05 00:00:00'), Timestamp('2021-09-15 00:00:00'), Timestamp('2021-09-20 00:00:00'), Timestamp('2021-09-26 00:00:00'), Timestamp('2021-09-28 00:00:00'), Timestamp('2021-10-14 00:00:00'), Timestamp('2021-10-15 00:00:00'), Timestamp('2021-10-28 00:00:00'), Timestamp('2022-01-03 00:00:00'), Timestamp('2022-01-14 00:00:00'), Timestamp('2022-01-15 00:00:00'), Timestamp('2022-01-26 00:00:00'), Timestamp('2022-02-01 00:00:00'), Timestamp('2022-02-28 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-28 00:00:00'), Timestamp('2022-04-30 00:00:00'), Timestamp('2022-05-06 00:00:00'), Timestamp('2022-05-08 00:00:00'), Timestamp('2022-05-10 00:00:00'), Timestamp('2022-05-11 00:00:00'), Timestamp('2022-05-17 00:00:00'), Timestamp('2022-05-18 00:00:00'), Timestamp('2022-05-20 00:00:00'), Timestamp('2022-05-21 00:00:00'), Timestamp('2022-05-24 00:00:00'), Timestamp('2022-05-25 00:00:00'), Timestamp('2022-05-28 00:00:00'), Timestamp('2022-05-30 00:00:00'), Timestamp('2022-06-08 00:00:00'), Timestamp('2022-06-20 00:00:00'), Timestamp('2022-06-21 00:00:00'), Timestamp('2022-06-26 00:00:00')]",221
BHUJIA 180GM,110.0,9.0,"[Timestamp('2020-08-22 00:00:00'), Timestamp('2020-08-24 00:00:00'), Timestamp('2020-08-28 00:00:00'), Timestamp('2020-08-29 00:00:00'), Timestamp('2020-08-30 00:00:00'), Timestamp('2020-08-31 00:00:00'), Timestamp('2020-09-01 00:00:00'), Timestamp('2020-09-06 00:00:00')]",16
BHUJIA 180GM,124.0,4.0,"[Timestamp('2022-06-26 00:00:00'), Timestamp('2022-06-28 00:00:00'), Timestamp('2022-07-09 00:00:00')]",14
BLACK LABEL 1LTR,6902.65,15.0,"[Timestamp('2022-02-19 00:00:00'), Timestamp('2022-03-03 00:00:00')]",13
BLACK LABEL 1LTR,7100.0,11.0,[Timestamp('2020-11-30 00:00:00')],1
BLACK LABEL 1LTR,7800.0,1.0,[Timestamp('2022-03-06 00:00:00')],1
BLACK LABEL 1LTR,7833.0,1.0,[Timestamp('2020-08-06 00:00:00')],1
BLACK LABEL 1LTR,7850.0,7.0,"[Timestamp('2020-10-19 00:00:00'), Timestamp('2021-01-28 00:00:00'), Timestamp('2021-02-10 00:00:00'), Timestamp('2021-03-05 00:00:00'), Timestamp('2021-03-06 00:00:00'), Timestamp('2021-05-03 00:00:00'), Timestamp('2021-05-22 00:00:00')]",59
BLACK LABEL 1LTR,7870.0,1.0,[Timestamp('2020-08-22 00:00:00')],1
BLACK LABEL 1LTR,8028.0,2.0,"[Timestamp('2021-11-20 00:00:00'), Timestamp('2021-12-30 00:00:00')]",2
BREAD CRUMBS 500GM,235.0,17.0,"[Timestamp('2020-10-23 00:00:00'), Timestamp('2020-10-27 00:00:00'), Timestamp('2020-10-28 00:00:00'), Timestamp('2020-10-30 00:00:00'), Timestamp('2020-11-07 00:00:00'), Timestamp('2020-11-08 00:00:00'), Timestamp('2020-11-13 00:00:00'), Timestamp('2020-11-14 00:00:00'), Timestamp('2020-11-15 00:00:00'), Timestamp('2020-11-16 00:00:00'), Timestamp('2020-11-26 00:00:00'), Timestamp('2020-12-03 00:00:00'), Timestamp('2020-12-12 00:00:00'), Timestamp('2021-01-05 00:00:00')]",75
BREAD CRUMBS 500GM,240.0,9.0,"[Timestamp('2020-07-23 00:00:00'), Timestamp('2020-08-04 00:00:00'), Timestamp('2020-08-13 00:00:00'), Timestamp('2020-08-24 00:00:00'), Timestamp('2020-08-25 00:00:00'), Timestamp('2020-08-28 00:00:00'), Timestamp('2020-09-03 00:00:00'), Timestamp('2020-10-23 00:00:00')]",44
BREAD CRUMBS 500GM,259.0,6.0,"[Timestamp('2020-11-26 00:00:00'), Timestamp('2020-11-27 00:00:00'), Timestamp('2020-11-29 00:00:00'), Timestamp('2020-12-21 00:00:00'), Timestamp('2020-12-31 00:00:00'), Timestamp('2021-01-03 00:00:00')]",39
BREAD CRUMBS 500GM,260.0,7.0,"[Timestamp('2021-06-17 00:00:00'), Timestamp('2021-06-27 00:00:00'), Timestamp('2021-07-11 00:00:00'), Timestamp('2021-07-30 00:00:00'), Timestamp('2021-07-31 00:00:00'), Timestamp('2021-08-02 00:00:00'), Timestamp('2021-08-09 00:00:00')]",54
